,0
0,"tensor(0.0005, grad_fn=<UnbindBackward>)"
1,"tensor(0.0047, grad_fn=<UnbindBackward>)"
2,"tensor(0.0111, grad_fn=<UnbindBackward>)"
3,"tensor(0.0112, grad_fn=<UnbindBackward>)"
4,"tensor(0.0114, grad_fn=<UnbindBackward>)"
5,"tensor(0.0116, grad_fn=<UnbindBackward>)"
6,"tensor(0.0140, grad_fn=<UnbindBackward>)"
7,"tensor(0.0176, grad_fn=<UnbindBackward>)"
8,"tensor(0.0185, grad_fn=<UnbindBackward>)"
9,"tensor(0.0190, grad_fn=<UnbindBackward>)"
10,"tensor(0.0083, grad_fn=<UnbindBackward>)"
11,"tensor(0.0132, grad_fn=<UnbindBackward>)"
12,"tensor(0.0205, grad_fn=<UnbindBackward>)"
13,"tensor(0.0250, grad_fn=<UnbindBackward>)"
14,"tensor(0.0305, grad_fn=<UnbindBackward>)"
15,"tensor(0.0383, grad_fn=<UnbindBackward>)"
16,"tensor(0.0424, grad_fn=<UnbindBackward>)"
17,"tensor(0.0447, grad_fn=<UnbindBackward>)"
18,"tensor(0.0463, grad_fn=<UnbindBackward>)"
19,"tensor(0.0473, grad_fn=<UnbindBackward>)"
20,"tensor(0.0199, grad_fn=<UnbindBackward>)"
21,"tensor(0.0259, grad_fn=<UnbindBackward>)"
22,"tensor(0.0347, grad_fn=<UnbindBackward>)"
23,"tensor(0.0456, grad_fn=<UnbindBackward>)"
24,"tensor(0.0593, grad_fn=<UnbindBackward>)"
25,"tensor(0.0785, grad_fn=<UnbindBackward>)"
26,"tensor(0.0850, grad_fn=<UnbindBackward>)"
27,"tensor(0.0853, grad_fn=<UnbindBackward>)"
28,"tensor(0.0880, grad_fn=<UnbindBackward>)"
29,"tensor(0.0898, grad_fn=<UnbindBackward>)"
30,"tensor(0.0642, grad_fn=<UnbindBackward>)"
31,"tensor(0.0668, grad_fn=<UnbindBackward>)"
32,"tensor(0.0708, grad_fn=<UnbindBackward>)"
33,"tensor(0.0755, grad_fn=<UnbindBackward>)"
34,"tensor(0.0813, grad_fn=<UnbindBackward>)"
35,"tensor(0.0893, grad_fn=<UnbindBackward>)"
36,"tensor(0.0943, grad_fn=<UnbindBackward>)"
