sending,sending_citizen_unspecified,sending_citizenship_unknown,sending_household_not_owned,sending_household_owned,sending_household_owned_unknown,sending_indigeneity,sending_internet,sending_internet_unknown,sending_marriage_unknown,sending_married,sending_no_indigeneity,sending_no_internet,sending_not_citizen,sending_rural,sending_salary_worker,sending_self_employed,sending_separated,sending_single,sending_sum_income,sending_total_pop,sending_unknown_employment_status,sending_unknown_indigeneity,sending_unpaid_worker,sending_urban,sending_weighted_avg_income,sending_weighted_avg_income_abroad,sending_weighted_avg_no_income_abroad,sending_weighted_avg_unknown_income_abroad,sending_widowed,US_MIG_05_10
10001,1134.995083,243.8275862,1178.209016,1106.832815,736.5625,918.9605263,2111.233685,347.6981132,576.362069,1921.620722,1143.392731,951.8740553,67.76284585,796.2644168,4336.372406,4606.449066,1605.991409,448.3767642,11992950,59606,1218.357143,840.3396226,0,1597.239059,1124.200953,768.7885182,1213.505104,1931.825,460.4300412,961
10002,917.0677461,600,1274.160656,795.1180196,-1,-1,1988.103175,459.1666667,342.8,1383.286109,913.280597,855.7190757,-1,908.7823158,6257.485294,2273.432642,1835.921875,425.7484927,2158358,4750,535.75,576.3793103,0,-1,908.7823158,720.7671233,929.3176026,845.5675676,745.3773585,154
10003,637.9773148,557.15,729.4547945,610.7914144,468.3928571,584.4545455,1310.462428,514.3125,3800,1079.759162,629.0235516,571.1207323,0,628.5855204,3625.350195,2723.246988,1029.442308,244.9219731,1220317,4420,540,629.2153846,0,-1,628.5855204,486.1160338,738.5330151,-1,276.5697674,905
10004,1178.378744,1678.5625,1560.244328,1084.109969,785.7428571,1165.943463,2109.431851,1043.5,549.6956522,1945.953046,1183.358721,1049.951024,66.96875,996.9177659,4667.139969,2844.555233,1923.913043,463.6008374,6992040,35742,771.4,694.5794393,0,1436.934837,1173.751889,861.3856448,1219.547797,1643.137255,741.3639847,225
10005,2231.128863,2916.538705,2104.943216,2278.834178,2353.519005,2527.26879,3075.771459,1941.578834,650.2068966,3749.195659,2213.878347,1673.922115,1362.464052,1408.541019,5566.827798,6529.907105,3672.628322,929.5847863,57890242,657314,1531.622086,2064.311411,0,2319.113608,2230.022635,1672.340116,2273.630651,3946.180995,1241.236982,1071
10006,570.6227121,571.4074074,605.0909091,560.4588629,300,534.7307692,879.4832215,-1,-1,827.4929108,567.2137516,547.1691419,-1,564.6574971,3281.2673,2021.657895,1338.140496,291.1679167,1818945,10324,1184.333333,513.2386364,0,-1,564.6574971,458.2570715,597.7052658,535.7083333,316.8909091,337
10007,1685.272598,1260.87062,1785.322195,1654.100742,1817.853982,1927.408396,2364.92187,2007.977629,195.0179641,2711.064684,1652.104929,1369.97627,575,1172.832884,5109.823493,4764.644339,2907.974298,673.6890392,19079704,346742,2988.687876,2059.604185,0,1792.299175,1682.252268,1258.177119,1705.416778,1321.152645,673.0789972,204
10008,1081.122575,291.1132075,1201.141379,1016.218788,1323.487654,1139.295652,1633.067292,2004.833333,-1,1753.778349,1057.791495,836.7279085,-1,636.1165822,3844.558343,3865.577229,2106.41541,420.2309174,5910431,35232,2602.43,1218.005698,0,1260.502233,1064.708277,623.7975744,1170.865858,1347.862319,422.6967509,320
10009,1174.030648,-1,1426.419017,1067.008366,553.0322581,776.7452753,2930.937888,2734.714286,-1,1844.960087,1539.219481,1089.783259,1011.4,653.5900156,5896.722646,3744.421245,1823.305785,512.7371998,3240813,9720,10857,2098.508621,0,2172.124471,1170.704115,1159.18107,1171.984454,-1,380.0807175,61
1001,2642.24694,2504.864769,2420.142975,2744.597589,1701.810294,2506.189045,3830.806522,1651.897826,477.1891253,4409.759013,2654.87019,1849.603816,3142.608388,2020.261527,6318.860355,7174.054743,4158.04767,1140.386488,91146351,940332,2361.029342,3154.240255,0,2724.611914,2643.872422,1917.744833,2685.055043,1711.594017,1564.801429,2063
